Month,Email/JIRA Date,Jira Key,Event type,Customer,Number of Customers,Event/Bulletin Title,Issue Type,Reason,Root Cause,Sub-type,Improvement VS Bug,Short Term Fix Status,Automation Opportunity,RCA Requested,Comments,Delay,Missed_Flag,Month_Sort,Delay (Hours),Reporting Month,Severity,Standard Automation Focus,RCA Details,Routed To,Resolution Date
Jun 2026,05-Jun-2026,EAO-1,Factory Disruption,Eaton,1,Burnstein von Seelen Precision Casting Operational Disruption,Complaint,Missed Event,People,Review,Improvement,RCA Shared,Supplier-aware escalation model + Not Impactful override validation,Yes,RCA shared; analyst classified event as Not Impactful. Event was successfully received and reviewed but incorrectly classified and therefore not escalated.,,Yes,6,,Jun 2026,Medium,WarRoom & Decision Validation,"Articles on the Burnstein von Seelen disruption did reach the portal, but the analyst classified the event Not Impactful and did not escalate it, so it never reached WarRoom consideration. Corrective: analyst coaching on law-enforcement, regulatory and workforce disruptions, plus an internal non-conformance raised against the reporting workflow. Preventive: extra review controls before a Not Impactful call on a monitored supplier, stronger supplier-context visibility during review, expanded audits of analyst overrides, and AI-assisted relevance work with Product/Data Science.",EventWatch Ops - Nitin Rindhe,08-Jun-2026
Jun 2026,10-Jun-2026,CAN-3377,Merger & Acquisition,Ford,1,Credit Suisse / UBS Acquisition Alert Missing from EventWatch News Dashboard (Ford),Complaint,News dashboard visibility gap,Product,Visibility,Improvement,Fixed,Parity checking between Global Search and the EventWatch News Dashboard so a published alert cannot be findable in one and absent from the other,No,"From Jira CAN-3377 (Resolved). The 'Credit Suisse to be Acquired by UBS Group' alert and all 14 of its updates were absent from Ford's EventWatch News Dashboard, and keyword searches there returned No Data Available. The same alert was returned normally by Global Search, so the content existed and only the dashboard view was affected.",,No,6,,Jun 2026,Medium,Notification Visibility Monitoring,"The ticket carries no root-cause statement. It sat unprioritised by the Transformation team through July with no committed date, was picked up later that month, and the fix was verified on Azure staging on 28-Jul-2026 as working as expected and marked resolved. What was wrong and what was changed are not recorded on the ticket.",Product & Platform,
Jun 2026,15-Jun-2026,EAO-4,Chemical Spill,Eaton,1,"CO₂ Leak at Schaeffler India Plant, Pune",Complaint,Missed Event,Product,Event Identification,Improvement,RCA Shared,Hazardous gas leak detection + mapped supplier escalation model,Yes,RCA document prepared and shared with customer. Customer reported missing EventWatch coverage related to a CO₂ leak involving fatalities at a mapped supplier facility.,,Yes,6,,Jun 2026,Medium,WarRoom & Decision Validation,RCA approved and sent to the customer on 15-Jun-2026 as a PDF attached to EAO-4; the document text is not in the ticket.,Product & Platform,18-Jun-2026
Jun 2026,15-Jun-2026,EAO-8,Supply Shortage,Belden Inc,1,MLCC Supply Chain Alert Related to AI Demand Growth,Inquiry,Coverage Verification Request,Process,Process Clarification,Improvement,Clarification Provided,Forecast vs Event differentiation,No,Article was an investment and market outlook discussing future MLCC demand and did not meet EventWatch reporting thresholds.,,No,6,,Jun 2026,Medium,Other Control Automation,"Not an event under the reporting criteria. The article was a financial and market outlook on future demand and investment opportunity in the AI supply chain. It highlights potential growth in MLCC demand but identifies no actual supply chain risk or disruption, and an investment outlook rather than a report of a disruption does not meet the EventWatch Threshold criteria.",EventWatch Ops - Nitin Rindhe,29-Jun-2026
Jun 2026,23-Jun-2026,EAO-6,Merger & Acquisition,Caterpillar,1,Dana Incorporated to Merge with Eaton's Mobility Business,Complaint,Impacted Supplier Missing,People,Mapping,Improvement,RCA Shared,Supplier relationship validation + impacted entity completeness checks,Yes,Customer-facing RCA requested and RCA document prepared. Dana Holding Corporation was not included in impacted supplier selection during initial WarRoom creation and was subsequently added.,,No,6,,Jun 2026,Medium,Entity & Supplier Resolution,"The primary transaction participants were identified correctly, but Dana Holdings was omitted during the initial review of related corporate entities and supplier relationships; a WarRoom update was issued to add it. Preventive: mandatory secondary review for impacted-supplier assessments involving mergers, acquisitions, restructurings and other multi-entity transactions. RCA shared 13-Jul-2026.",EventWatch Ops - Nitin Rindhe,14-Jul-2026
Jun 2026,23-Jun-2026,EAO-7,Geopolitical,Western Digital,1,"Inquiry on Route Disruption – Sepone Bridge, Laos",Inquiry,Customer Requested Verification,Process,Process Clarification,Improvement,Clarification Provided,Route-risk monitoring enhancement,No,"Review of English and local-language sources did not identify any verified disruption, closure, or logistic impact.",,No,6,,Jun 2026,Medium,Other Control Automation,"No public source existed to report from. A review of publicly available sources, covering English as well as Lao and regional local-language coverage, found no official confirmation from government authorities, logistics providers or credible media of a bridge closure, restriction or disruption to freight movement near Sepone in Savannakhet Province, and no verified reports of impact to trucking operations or access to the Savannakhet ICD. The customer was asked to share any specific article or source they held so it could be reviewed.",EventWatch Ops - Nitin Rindhe,25-Jun-2026
Jun 2026,24-Jun-2026,EAO-10,Cyber Attack,Western Digital,1,Nidec Chaun Choung Technology Suffers Ransomware Attack,Complaint,Missed Event,People,Review,Improvement,RCA Shared,Supplier-aware cyber incident escalation model,Yes,RCA prepared; analyst impact-assessment failure identified. Event was captured successfully but incorrectly assessed as Not Impactful during analyst review and therefore not escalated.,,Yes,6,,Jun 2026,Medium,WarRoom & Decision Validation,RCA reviewed and sent to the customer as a PDF attached to EAO-10 (29-Jun-2026); the document text is not in the ticket.,EventWatch Ops - Nitin Rindhe,29-Jun-2026
Jun 2026,25-Jun-2026,EAO-9,Factory Fire,Caterpillar,1,"Fire at the Isselguss GmbH Facility in Isselburg, Germany",Complaint,Missed Event,Product,Event Identification,Improvement,RCA Shared,Entity-location-aware clustering + cluster separation validation,Yes,"RCA PDF prepared and approved for customer sharing. Event was captured by feeds but incorrectly clustered with another unrelated factory fire in Germany, preventing separate WarRoom creation.",,Yes,6,,Jun 2026,Medium,Entity & Supplier Resolution,RCA approved and sent to the customer on 25-Jun-2026 as a PDF attached to EAO-9; the document text is not in the ticket. The WarRoom itself was published before the RCA was issued.,Product & Platform,29-Jun-2026
Jun 2026,26-Jun-2026,EAO-5,Extreme Weather,Woodward,1,Severe Storms Trigger Disruptions Across the Midwest USA – Geographic Misclassification,Complaint,Geographic Misclassification,People,Review,Improvement,Fixed,Cluster integrity validation + geographic consistency checks,Yes,California sites were incorrectly included because two different events were merged into the same WarRoom.,,No,6,,Jun 2026,Medium,Cluster Integrity & Duplicate Prevention,"Analyst-side grouping error, not a geofencing or source defect. The reporting team clubbed two separate events together, so California sites were attached to the Midwest Storm WarRoom where they did not belong. A DATA ticket was raised and the California sites were removed from the WarRoom.",EventWatch Ops - Nitin Rindhe,
Jun 2026,30-Jun-2026,EAO-11,Factory Fire,Caterpillar,1,Isselguss / Isselburg Foundry Naming Clarification,Inquiry,Customer Terminology Preference,Process,Process Clarification,Improvement,Clarification Provided,Company alias management,No,Isselguss and Isselburg Foundry refer to the same facility. Title updated to align with customer terminology preference and not due to a reporting error.,,No,6,,Jun 2026,Medium,Entity & Supplier Resolution,"Not an error, a terminology preference. Isselguss, or Isselguss, is the commonly used shorthand for Isselburg Guss und Bearbeitung GmbH, the Isselburg foundry; the formal company name and the short name refer to the same operation. Initial local and regional coverage of the incident used Isselguss because that is the locally recognisable name of the site, while other coverage described the same location simply as the foundry in Isselburg. The bulletin was updated to Isselburg foundry to match the customer's preferred terminology, and that change should not be read as correcting a mistake.",EventWatch Ops - Nitin Rindhe,01-Jul-2026
Jul 2026,01-Jul-2026,EAO-12,Labor Disruption,Ford,1,"BorgWarner Indefinite Strike – Vigo Metropolitan Area, Spain",Complaint,Missed Event,Product,Event Identification,Improvement,Clarification Provided,Vendor-to-portal feed validation + cluster state integrity monitoring,Yes,"Customer reported missed EventWatch notification for an indefinite strike at BorgWarner facilities in Zamáns, O Porriño, and Nigrán. CS investigation confirmed two previous strike notifications were successfully delivered to Ford, but no notification was generated for the July 1 event. Internal investigation notes indicate the articles were captured by the vendor and Spanish language algorithm but did not appear in the analyst portal. Engineering review referenced an inconsistent cluster state condition during the affected period.",Yes,Yes,7,,Jul 2026,Medium,Dynamic Source Discovery,Feeds covering the BorgWarner Vigo indefinite strike were in the public domain from 26-Jun-2026 but were not captured on the portal until 1 July; Engineering was asked to investigate why the 26-27 June sources were missed. RCA approved and shared 09-Jul-2026.,Product & Platform,13-Jul-2026
Jul 2026,06-Jul-2026,EAO-13,Factory Fire,Ford,1,"Fire at FXI Foam Manufacturing Plant in Cuautitlan, Mexico",Complaint,Missed Event,Product,Policy/Logic,Improvement,RCA Shared,"Relevance scoring that stops treating supplier mapping as a dominant decision factor for major industrial incidents, weighting incident severity, manufacturing activity, facility type, industry relevance and downstream supply chain potential instead, so an unmapped manufacturing site is not closed out before an analyst has weighed it",Yes,"Customer reported a fire at FXI, a Tier 2 supplier, causing a Force Majeure at Sage Automotive Interiors, with no matching EventWatch notification. Established as a relevance-scoring weakness rather than an analyst error: the event was captured, classified Not Impactful because the company was unmapped, and the analyst review concurred. Resilinc accepted the customer's challenge to the methodology, issued an ICA on 17-Jul-2026 adding a manual review for major industrial incidents initially classified Not Impactful, and committed to a PCA enhancing the AI relevance-scoring models by end July 2026.",,Yes,7,,Jul 2026,Medium,WarRoom & Decision Validation,"A methodology weakness that Resilinc accepted, not an analyst error. EventWatch did capture multiple public reports of the 28-Jun-2026 fire at the foam manufacturing facility in Cuautitlan Izcalli, Mexico. The AI classification models then categorised it Not Impactful on three grounds: the company was not a mapped supplier in the database, no mapped supplier sites sat near the incident, and public reporting described a mattress/foam plant fire with no confirmed downstream impact. The reporting team reviewed the captured articles under human-in-the-loop validation and concurred, so nothing was published. The Force Majeure that Sage Automotive Interiors issued could not be confirmed in English or Spanish public sources and appears to have gone through direct supplier channels, so EventWatch could not publish it either; a monitoring record was created to catch any public confirmation. The customer challenged the methodology itself - why supplier presence in an internal database filters an assessment that is meant to rest on public information - and Resilinc agreed the observation was right. Interim corrective action, in force now: major industrial incidents at manufacturing facilities initially classified Not Impactful get an additional manual review, and are no longer closed solely on the absence of mapped suppliers or immediately confirmed downstream impact; analysts weigh facility type, manufacturing activity, incident severity, industry relevance and downstream potential before the publication decision. Permanent corrective action: the AI relevance-scoring models are being enhanced so supplier mapping is no longer a dominant factor, shared with Data Science and on the AI roadmap, targeted for deployment by end July 2026, at which point the interim manual control folds into the automated decision.",Product & Platform,17-Jul-2026
Jul 2026,08-Jul-2026,EAO-14,Factory Fire,Ford,1,"New World International Co. Factory Fire, Thailand",Complaint,Missed Event,People,Review,Improvement,Clarification Provided,Supplier-aware factory fire escalation model + Not Impactful override validation,Yes,Feeds were received and event was reportedly marked Not Impactful despite destruction of production/storage facility. Investigation ongoing.,,Yes,7,,Jul 2026,Medium,WarRoom & Decision Validation,RCA approved and sent to the customer on 13-Jul-2026 as a PDF attached to EAO-14; the document text is not in the ticket.,EventWatch Ops - Nitin Rindhe,14-Jul-2026
Jul 2026,08-Jul-2026,EAO-15,Supply Shortage,META,1,Samsung DRAM Price Increase Alert – WarRoom Not Created,Inquiry,Missed WarRoom,Process,WarRoom Creation,Improvement,Clarification Provided,Site Selection Suggestion based on unnormalized supplier names,Yes,EventWatch alert published but corresponding WarRoom not created despite supplier normalization. Investigation ongoing.,No,Yes,7,,Jul 2026,Low,Entity & Supplier Resolution,"The event met the Price Fluctuation reporting threshold and did qualify for a WarRoom; the failure came later, in customer-specific supplier normalization. The Samsung Electronics sites are normalized under Samsung for the affected customer, and that normalization was not applied during the impacted-site assessment, so the sites were never associated with the event and no customer WarRoom was created. This was not a parent-child modelling issue. Normalization is maintained outside the EventWatch editorial workflow, so the response is strengthened validation controls plus AI-assisted WarRoom generation rather than a guarantee. RCA shared 15-Jul-2026.",EventWatch Ops - Nitin Rindhe,17-Jul-2026
Jul 2026,10-Jul-2026,EAO-16,Hurricane/Typhoon,Eaton,1,Super Typhoon Bavi WarRoom Timing Clarification (Taiwan),Inquiry,WarRoom Timing/Trigger Criteria Clarification,Process,Process Clarification,Improvement,Clarification Provided,WarRoom trigger-criteria explanation template for post-peak activations,No,"Staged from Jira EAO-16 (Done). Eaton asked why the WarRoom for Super Typhoon Bavi (Taiwan) was activated on 9-Jul after the storm had already peaked, and what triggering criteria were used.",,No,7,,Jul 2026,Low,WarRoom & Decision Validation,"EventWatch captured multiple Philippines articles before the dedicated Philippines WarRoom was created, but they were assessed Not Impactful during reporting review, when available reports still described preparedness and localized impacts. Root cause: human assessment error underestimating the significance of the evolving Philippines impacts, which delayed WarRoom creation. Preventive: multi-country weather events assessed independently for each affected geography rather than inferred from the wider storm.",EventWatch Ops - Nitin Rindhe,21-Jul-2026
Jul 2026,10-Jul-2026,EAO-17,Litigation/Legal,Micron,1,Jacobs Engineering/CH2M Hill Forced Labor Lawsuit – Missed EventWatch Notification (Micron),Complaint,Missed Event,Product,Source Coverage,Improvement,RCA Shared,Legal/labor-litigation source coverage and entity-linking for supplier-adjacent lawsuits,Yes,Staged from Jira EAO-17 (Done). Micron reported a forced-labor lawsuit against Jacobs Engineering/CH2M Hill was not captured in EventWatch and requested RCA if it was in scope.,,Yes,7,,Jul 2026,Medium,Dynamic Source Discovery,RCA reviewed and sent to the customer on 14-Jul-2026 as a PDF attached to EAO-17; the document text is not in the ticket.,Product & Platform,14-Jul-2026
Jul 2026,13-Jul-2026,EAO-18,Supply Shortage,Western Digital,1,Suspension Baseplate Supply Risk Monitoring Request (Fujita Plating/NHK/OSK),Inquiry,Coverage Verification Request,Process,Process Clarification,Improvement,Clarification Provided,Supplier decommitment/capacity-risk monitoring for sub-tier component makers,No,Staged from Jira EAO-18 (Done). Western Digital asked whether EventWatch has published or is monitoring a reported Suspension Baseplate supply risk tied to Fujita Plating/NHK/OSK decommitments; CS found no matching event in the backend.,,No,7,,Jul 2026,Low,Other Control Automation,"No publicly verifiable evidence existed, so the reported risk could not be published. Research across English and Japanese public sources found no credible reports confirming production constraints or operational disruption at Fujita Plating, no decommitments by NHK or OSK, no Force Majeure declaration and no publicly confirmed factory, labour or supply shortage event connected to the situation. No public statements were identified from Fujita Plating, NHK Spring, TDK, MPT or any other involved company. The reported risk appears to have originated in supplier-network communication rather than the public domain. EventWatch publishes on verified public information, so the topic was placed under monitoring with a story created, to be reassessed and published if credible public confirmation appears. Closed on 21-Jul-2026 with no follow-up question from the customer.",EventWatch Ops - Nitin Rindhe,21-Jul-2026
Jul 2026,14-Jul-2026,EAO-19,Power Outage,Ford,1,RFI – Power Grid Failure Monitoring Strategy,Inquiry,Monitoring Strategy RFI,Process,Process Clarification,Improvement,Clarification Provided,Published monitoring-scope documentation for power-grid/infrastructure failure events,No,Staged from Jira EAO-19 (Done). Ford requested an explanation of Resilinc's monitoring strategy for power grid failure events after multiple incidents affected suppliers in the US and Europe.,,No,7,,Jul 2026,Low,Other Control Automation,"Not a miss - an inquiry answered in full. EventWatch monitors power infrastructure continuously across utilities and transmission operators, government and emergency agencies, grid operators, news sources and official outage maps. Reporting is risk-based rather than every outage: mapped supplier sites in the affected region, impact on manufacturing hubs, ports, warehouses and logistics, expected outage duration, and public confirmation of operational disruption, all against regional reporting thresholds.",EventWatch Ops - Nitin Rindhe,17-Jul-2026
Jul 2026,17-Jul-2026,EAO-20,Bankruptcy,Honeywell,1,ASSMANN WSW Components GmbH Bankruptcy Filing – Missed Coverage (Honeywell Tier 1 Supplier),Complaint,Missed insolvency alert,Product,Source Coverage,Improvement,Fixed,Tier-1 supplier bankruptcy/insolvency filing source coverage expansion (EU registries),Yes,Staged from Jira EAO-20 (Done). Honeywell reported ASSMANN WSW Components GmbH's July 6 insolvency filing (a mapped Tier-1 supplier) was never published as an EventWatch bulletin or WarRoom; RCA requested.,,Yes,7,,Jul 2026,Medium,Dynamic Source Discovery,German-language sources reporting the ASSMANN WSW Components insolvency were not captured by the portal; Engineering was asked to investigate the feed gap. RCA reviewed and shared with the customer 20-Jul-2026.,Product & Platform,21-Jul-2026
Jul 2026,17-Jul-2026,EAO-21,Wildfire,Ford,1,Severe Air Quality Degradation – Canadian Wildfires Missed Alert (Midwest/Northeast US),Complaint,Missed Event,People,Event Identification,Improvement,RCA Shared,Escalation automation for environmental-hazard advisories,Yes,Staged from Jira EAO-21 (Done). Ford reported no EventWatch alert/WarRoom was generated for July 15-17 wildfire smoke air-quality degradation across the US Midwest/Northeast; CS confirmed no matching notification was found.,,Yes,7,,Jul 2026,Medium,WarRoom & Decision Validation,RCA approved and sent to the customer on 21-Jul-2026 as a PDF attached to EAO-21; the document text is not in the ticket.,EventWatch Ops - Nitin Rindhe,27-Jul-2026
Jul 2026,27-Jul-2026,EAO-22,Cyber Attack,Eaton,1,Romania ANCPI Cyberattack – Missed EventWatch Notification,Inquiry,Wrong Relevancy,Process,Policy/Logic,Improvement,Clarification Provided,"A feedback path from a disputed Not Impactful classification back into the reporting criteria, so a customer telling us a government-services disruption does affect them tunes the model rather than closing as no further context",No,Staged from Jira EAO-22 (Done). Eaton reported the July 14-16 ANCPI (Romania land registry) cyberattack had no corresponding WarRoom or news on the portal; RCA requested if it was in scope.,,No,7,,Jul 2026,Medium,WarRoom & Decision Validation,"Not a miss and not a coverage gap. The EventWatch feed harvesting algorithms did capture reports of the ransomware attack on Romania's National Agency for Cadastre and Public Registry (ANCPI). The AI classification models evaluated it against the current EventWatch reporting criteria and classified it Not Impactful: the attack disrupted ANCPI's land registry services, but the assessment found no evidence of impact on customer industries, suppliers, manufacturing, logistics or transportation, and no reports of production delays or distribution disruption. The disruption was limited to government services and did not warrant a supply chain risk notification. The customer was told this, invited to share any operational impact or dependency on ANCPI services so the models and criteria could be tuned, and the ticket was closed when no further context came back. A written explanation was provided; no RCA was issued or owed.",EventWatch Ops - Nitin Rindhe,29-Jul-2026
Aug 2026,03-Aug-2026,EAO-24,Factory Fire,Ford,1,TOHOKU Chemical Japan Fire – Sub-tier Cashew Dust Supplier,Inquiry,Coverage Verification Request,Process,Process Clarification,Improvement,Clarification Provided,"A customer-reported event with no public source should register as a monitoring story the customer can see, and publish automatically once a credible public source appears, rather than the customer having to ask again",No,"EAO-24: No proactive alert was generated for the July 21 fire. Customer requested RCA, ICA, and PCA for the missed coverage. RCA shared.",,No,8,,Aug 2026,Medium,Other Control Automation,"No public source existed to report from. An extensive search across English and Japanese public sources found no credible news articles or official announcements confirming a fire at TOHOKU Chemical Japan on 21-Jul-2026, and TOHOKU Chemical's own website and news releases do not reference a fire or related disruption in that period. The incident appears to have reached the customer through non-public channels such as direct supplier communication. EventWatch reports only on publicly available and verifiable information, so a monitoring story was created and public sources in both languages continue to be scanned; the alert publishes if credible public information appears. The customer was asked to share any public source they hold. A written explanation was provided; no RCA was issued or owed.",EventWatch Ops - Nitin Rindhe,05-Aug-2026
Aug 2026,03-Aug-2026,EAO-25,Factory Fire,GM,1,"Fire at UTAS-Nova Automotive Lighting Systems, Danyang, Jiangsu, China",Complaint,Missed Event,Product,Source Coverage,Improvement,RCA Shared,Cluster-assignment validation so an article grouped into the wrong cluster is caught before analyst review,Yes,"Staged from Jira EAO-25 (Sent to PM). GM reported a fire at UTAS-Nova Automotive Lighting Systems, Danyang, Jiangsu, China (reported July 10) was not found in GM's org; investigation findings not yet shared, Short Term Fix Status set to Pending until CS responds.",,Yes,8,,Aug 2026,Medium,Dynamic Source Discovery,"Captured, but grouped into the wrong event cluster, so the analyst reviewing that cluster marked it Not Impactful and it never reached WarRoom consideration. The miss is a clustering defect rather than a source-coverage gap or an analyst-judgement failure: the article was in the system and the grouping put it in front of the wrong decision. The cluster logic has since been enhanced.",Product & Platform,
Aug 2026,03-Aug-2026,EAO-25,Tornado,GM,1,"Chicago Heights, Illinois Tornado – Trialco Impact Not Identified",Complaint,Missed Event,Product,Source Coverage,Improvement,RCA Shared,Cluster-assignment validation so an article grouped into the wrong cluster is caught before analyst review,Yes,"Staged from Jira EAO-25 (Sent to PM). GM reported no event was created specifically for the July 27 Chicago Heights, Illinois tornado (broader Illinois storm alerts existed) and asked whether Trialco was identified as impacted; investigation findings not yet shared, Short Term Fix Status set to Pending until CS responds.",,Yes,8,,Aug 2026,Medium,Dynamic Source Discovery,"Captured, but grouped into the wrong event cluster, so the analyst reviewing that cluster marked it Not Impactful and it never reached WarRoom consideration. The miss is a clustering defect rather than a source-coverage gap or an analyst-judgement failure: the article was in the system and the grouping put it in front of the wrong decision. The cluster logic has since been enhanced.",Product & Platform,
Aug 2026,04-Aug-2026,CAN-3433,Earthquake,Hitachi,1,Disruption Agent Returns Only Tier 1 Suppliers for Kumamoto Earthquake Query (Hitachi),Complaint,Impacted Supplier Missing,Product,Policy/Logic,Improvement,Fixed,Disruption Agent response completeness checks so a prompt asking for multiple supplier tiers returns all of them in one response,No,"From Jira CAN-3433 (Resolved). For Hitachi, a single Disruption Agent prompt asking for both Tier 1 and Tier 2 suppliers potentially impacted by the 6.8 magnitude Kumamoto earthquake returned Tier 1 only; Tier 2 required a second prompt.",,No,8,,Aug 2026,Low,Other Control Automation,A data hygiene defect on the EventWatch side: leading and trailing spaces in the values the Disruption Agent matched on. They were stripped under TENAR-45367 and the fix was verified on stage on 07-Aug-2026.,Product & Platform,
Aug 2026,11-Aug-2026,EAO-23,Regulatory Change,Ford,1,China MOFCOM Announcement No. 30 of 2026 (Export Control Watchlist),Complaint,Missed Event,People,Review,Improvement,RCA Shared,Not Impactful Decision Validation,Yes,EAO-23: News was captured but initially classified as Not Impactful by AI. Human-in-the-loop review did not escalate the event. RCA shared based on the investigation trail.,,Yes,8,,Aug 2026,Medium,WarRoom & Decision Validation,RCA approved and sent to the customer on 05-Aug-2026 as a PDF attached to EAO-23; the document text is not in the ticket.,EventWatch Ops - Nitin Rindhe,18-Aug-2026
Aug 2026,17-Aug-2026,EAO-27,Geopolitical,Ford,1,Ceuta Border Security & Humanitarian Crisis,Complaint,Missed Event,People,Review,Improvement,RCA Shared,WarRoom Trigger Automation,Yes,EAO-27: Customer reported a missed EventWatch alert and requested an update. RCA shared following review of the event.,,Yes,8,,Aug 2026,Medium,WarRoom & Decision Validation,RCA reviewed and sent to the customer on 20-Aug-2026 as a PDF attached to EAO-27; the document text is not in the ticket. Closed 25-Aug-2026 after no customer follow-up.,EventWatch Ops - Nitin Rindhe,25-Aug-2026
Aug 2026,17-Aug-2026,EAO-28,Transport Disruption,Eaton,1,Kandla Port Cargo Congestion – Supplier Impact Notification Clarification (Eaton),Inquiry,Supplier Impact Mapping Clarification,Process,Mapping,Improvement,Clarification Provided,Impact-confirmation notification criteria documentation for port/logistics bulletins,No,"Staged from Jira EAO-28 (Done). Eaton asked what criteria triggered impact-confirmation notifications to Eaton suppliers on the Kandla Port cargo congestion bulletin, since the bulletin text focused on rice exports.",,No,8,,Aug 2026,Low,Entity & Supplier Resolution,"No RCA document issued - the team shares one only where there was a miss. Clarification given instead: EventWatch published the Kandla congestion event on reports of clearance delays up to 40 days and container shortages. The source article highlighted rice exports, but nothing indicated the congestion was confined to rice cargo, so mapped supplier sites within the impact area were sent Supplier Impact Confirmation requests as proactive validation. The outreach was not a statement that those suppliers were already impacted.",EventWatch Ops - Nitin Rindhe,25-Aug-2026
Aug 2026,18-Aug-2026,EAO-26,Factory Fire,Ford,1,Sasol Polyethylene Plant Fire / Shutdown,Complaint,Missed Event,Product,Source Coverage,Improvement,RCA Shared,Dynamic Source Discovery,Yes,EAO-26: Customer reported a missed EventWatch alert for the Sasol polyethylene plant fire and shutdown. Investigation and RCA were requested; RCA shared.,,Yes,8,,Aug 2026,Medium,Dynamic Source Discovery,RCA reviewed and sent to the customer on 20-Aug-2026 as a PDF attached to EAO-26; the document text is not in the ticket. Closed 25-Aug-2026 after no customer follow-up.,Product & Platform,25-Aug-2026
Aug 2026,20-Aug-2026,EAO-29,Hurricane/Typhoon,Ford,1,Typhoon Dolphin Bulletins Distributed Across Two WarRooms,Inquiry,Coverage Verification Request,Process,Policy/Logic,Improvement,Clarification Provided,"Make the shared update sequence legible on the bulletin itself, so a jump from Update 2 to Update 5 in one country's WarRoom shows which storm-lifecycle updates ran under the other WarRooms instead of reading as missing bulletins",No,"EAO-29: Bulletins were distributed across two WarRooms, resulting in gaps in the update sequence. Customer requested RCA; RCA shared.",,No,8,,Aug 2026,Low,Other Control Automation,"Not duplicate WarRooms and not a defect: a question about a deliberate internal convention. Country-specific WarRooms for one storm share a single update sequence so the chronology of the underlying event stays end to end. A storm evolves over days, changes direction and intensity and crosses borders, and a shared sequence lets a customer exposed in several geographies see where each development sits in the overall lifecycle. It also signals maturity of the threat: restarting the numbering for each new country would make an established, highly disruptive typhoon appear as an Initial Bulletin. It further preserves cross-country traceability, since independent numbering would produce several Update 1s and Update 2s for the same storm. The WarRoom says where a development is relevant; the update number says where it falls in the storm's lifecycle. So when the China WarRoom runs from Update 2 to Update 5, Updates 3 and 4 are not missing - they were intervening Typhoon Dolphin developments relevant to Japan and published under the Japan WarRoom, the same principle covering Update 7 for Taiwan. The explanation was shared with the customer, who was invited to give further feedback.",EventWatch Ops - Nitin Rindhe,07-Sep-2026
Aug 2026,21-Aug-2026,EAO-25,Transport Disruption,Ford/GM,2,"World Trade Bridge Closed in Laredo, Texas",Complaint,Missed Event,Product,Keyword Update,Improvement,Fixed,Dynamic Source Discovery,Yes,EAO-25: Event was missed due to a keyword gap. Keyword was added and the article is now being captured.,,Yes,8,,Aug 2026,Medium,Dynamic Source Discovery,"Source articles for the Laredo World Trade Bridge closure, the Nemak Monterrey fire and the FXI Cuautitlan fire were not captured on the portal; Engineering investigation into the feed gap was requested 04-Aug-2026. Ticket is still open with PM, so no RCA has been issued yet.",Product & Platform,
Aug 2026,21-Aug-2026,EAO-25,Factory Fire,Ford/GM,2,"Fire at FXI de Cuautitlán, S.A. de C.V.",Complaint,Missed Event,Product,Source Coverage,Improvement,RCA Shared,Dynamic Source Discovery,Yes,EAO-25: Event was not captured by the vendor due to a source coverage gap. Vendor was asked to add the sources to its network. RCA shared based on the investigation trail.,,Yes,8,,Aug 2026,Medium,Dynamic Source Discovery,"Source articles for the Laredo World Trade Bridge closure, the Nemak Monterrey fire and the FXI Cuautitlan fire were not captured on the portal; Engineering investigation into the feed gap was requested 04-Aug-2026. Ticket is still open with PM, so no RCA has been issued yet.",Product & Platform,
Aug 2026,24-Aug-2026,EAO-25,Factory Fire,Ford/GM,2,"Fire at Nemak Factory in Monterrey, Mexico",Complaint,Missed Event,People,Review,Improvement,RCA Shared,Not Impactful Decision Validation,Yes,EAO-25: News processing captured the article and attached it to an updated factory-fire cluster. The event was later marked Not Impactful by the analyst. RCA shared based on the investigation trail.,,Yes,8,,Aug 2026,Medium,WarRoom & Decision Validation,"Source articles for the Laredo World Trade Bridge closure, the Nemak Monterrey fire and the FXI Cuautitlan fire were not captured on the portal; Engineering investigation into the feed gap was requested 04-Aug-2026. Ticket is still open with PM, so no RCA has been issued yet.",EventWatch Ops - Nitin Rindhe,
Aug 2026,24-Aug-2026,TS-22695,Cyber Attack,The American National Red Cross,1,Uber Freight Investigates Reported Cyberattack After Hackers Claim Data Breach,Complaint,WarRoom not visible in customer profile,Process,Visibility,Improvement,RCA Shared,Notification Visibility Monitoring,No,EAO-30: EventWatch news was published on August 13 but was not visible on the customer portal. Portal visibility investigation completed and clarification provided.,,Yes,8,,Aug 2026,Medium,Notification Visibility Monitoring,,EventWatch Ops - Nitin Rindhe,
Aug 2026,31-Aug-2026,EAO-31,Cyber Attack,Schneider Electric,1,Gindre India Data Breach – EventWatch Alert/WarRoom Missing,Complaint,Missed Event,Product,Source Coverage,Improvement,RCA Shared,Dynamic Source Discovery,Yes,EAO-31: No corresponding EventWatch event or WarRoom was found for the reported data breach. Source coverage review completed and RCA shared.,,Yes,8,,Aug 2026,Medium,Dynamic Source Discovery,Feeds reporting the Qilin ransomware breach at Gindre India were not captured on the EventWatch portal; Engineering investigation requested 31-Aug-2026. RCA reviewed and shared with the customer 03-Sep-2026.,Product & Platform,07-Sep-2026
